MATH166, 007, MWF, 1100, 1345, 3
CS222, 574, TR, 1500, 1650, 3
CS222, 996, MWF, 1530, 1815, 3
CS120, 292, MWF, 1800, 1850, 3
MATH166, 138, TR, 1100, 1245, 3 
CS124, 106, MWF, 0800, 0950, 3
MATH166, 438, MWF, 0930, 1050, 3
MATH166, 145, TR, 1600, 1750, 3
CS222, 554, MWF, 0900, 0950, 3
CS121, 013, MWF, 0800, 1950, 3
CS121, 997, TR, 1100, 1250, 3
CS121, 003, MWF, 1000, 1115, 3
CS230, 568, MWF, 0900, 1050, 3
CS121, 860, TR, 0800, 0915, 3
CS120, 015, MWF, 1500, 1615, 3
MATH166, 324, MWF, 1300, 1450, 3
MATH165, 849, MWF, 1530, 1645, 3
MATH165, 089, TR, 1200, 1350, 3
CS230, 045, TR, 1530, 1645, 3
CS230, 730, MWF, 1100, 1215, 3
CS121, 287, TR, 1200, 1315, 3
CS222, 347, TR, 1800, 1915, 3
CS222, 389, MWF, 0900, 1050, 3
MATH166, 832, TR, 1400, 1515, 3
CS222, 895, TR, 0800, 1550, 3
CS124, 475, TR, 0900, 1045, 3
